iter	Passed	Remaining
1272	27938	15955
1273	27971	15939
1274	28003	15923
1275	28033	15906
1276	28063	15889
1277	28094	15871
1278	28125	15854
1279	28155	15837
1280	28191	15823
1281	28222	15806
1282	28251	15788
1283	28281	15770
1284	28311	15753
1285	28342	15735
1286	28371	15717
1287	28406	15703
1288	28438	15686
1289	28475	15672
1290	28496	15650
1291	28527	15632
1292	28553	15613
1293	28579	15592
1294	28596	15567
1295	28618	15545
1296	28661	15535
1297	28679	15510
1298	28712	15494
1299	28752	15482
1300	28787	15467
1301	28822	15451
1302	28856	15435
1303	28886	15417
1304	28916	15399
1305	28947	15382
1306	28979	15365
1307	29020	15353
1308	29065	15343
1309	29094	15324
1310	29131	15309
1311	29185	15304
1312	29216	15286
1313	29247	15269
1314	29286	15255
1315	29318	15238
1316	29349	15220
1317	29380	15202
1318	29406	15182
1319	29437	15165
1320	29458	15141
1321	29489	15123
1322	29524	15108
1323	29555	15090
1324	29586	15072
1325	29617	15054
1326	29648	15036
1327	29679	15018
1328	29690	14990
1329	29721	14972
1330	29756	14956
1331	29787	14938
1332	29817	14919
1333	29848	14901
1334	29878	14883
1335	29909	14864
1336	29944	14849
1337	29976	14831
1338	29993	14806
1339	30024	14788
1340	30055	14769
1341	30085	14751
1342	30116	14733
1343	30152	14717
1344	30183	14699
1345	30219	14683
1346	30250	14664
1347	30276	14644
1348	30306	14625
1349	30337	14606
1350	30372	14590
1351	30404	14572
1352	30435	14554
1353	30465	14535
1354	30494	14515
1355	30535	14502
1356	30566	14483
1357	30600	14466
1358	30632	14448
1359	30662	14429
1360	30694	14411
1361	30705	14383
1362	30736	14364
1363	30766	14345
1364	30787	14322
1365	30820	14304
1366	30851	14286
1367	30882	14267
1368	30913	14248
1369	30943	14229
1370	30974	14210
1371	31005	14192
1372	31040	14175
1373	31072	14156
1374	31103	14137
1375	31139	14121
1376	31170	14102
1377	31191	14079
1378	31221	14059
1379	31251	14040
1380	31286	14023
1381	31317	14004
1382	31347	13985
1383	31378	13966
1384	31409	13947
1385	31440	13928
1386	31481	13913
1387	31514	13895
1388	31547	13877
1389	31578	13858
1390	31604	13836
1391	31635	13817
1392	31666	13798
1393	31680	13772
1394	31713	13753
1395	31744	13734
1396	31776	13715
1397	31807	13696
1398	31838	13677
1399	31869	13658
1400	31904	13640
1401	31936	13622
1402	31947	13594
1403	31978	13575
1404	32009	13555
1405	32040	13536
1406	32070	13516
1407	32103	13498
1408	32142	13481
1409	32173	13462
1410	32189	13436
1411	32220	13417
1412	32251	13398
1413	32282	13378
1414	32313	13359
1415	32343	13339
1416	32377	13321
1417	32407	13301
1418	32438	13281
1419	32469	13261
1420	32500	13242
1421	32531	13223
1422	32566	13205
1423	32597	13185
1424	32627	13165
1425	32657	13145
1426	32688	13125
1427	32721	13106
1428	32752	13087
1429	32786	13068
1430	32797	13041
1431	32829	13021
1432	32860	13001
1433	32890	12982
1434	32921	12962
1435	32953	12942
1436	32984	12922
1437	33019	12904
1438	33041	12881
1439	33074	12862
1440	33106	12842
1441	33136	12822
1442	33167	12802
1443	33198	12782
1444	33230	12763
1445	33264	12744
1446	33279	12718
1447	33310	12698
1448	33341	12678
1449	33372	12658
1450	33403	12638
1451	33433	12618
1452	33468	12599
1453	33500	12579
1454	33531	12559
1455	33561	12539
1456	33592	12519
1457	33623	12499
1458	33654	12479
1459	33687	12459
1460	33719	12439
1461	33750	12419
1462	33781	12399
1463	33811	12379
1464	33842	12358
1465	33873	12338
1466	33907	12319
1467	33941	12300
1468	33972	12280
1469	34006	12260
1470	34037	12240
1471	34068	12220
1472	34098	12199
1473	34138	12182
1474	34176	12164
1475	34214	12146
1476	34244	12125
1477	34277	12106
